LCD Model,Brand,Size,Type,Resolution,Brightness,Interface
B101UAN01.7 HW1A,AUO,10.1,LCD,1920x1200,380,MIPI
CLAA070WP04XG,CPT,7.0,LCD,800x1280,450,MIPI
LQ079L1SX02,SHARP,7.9,LCD,1536x2048,450,MIPI
AMS529BY01,Samsung,5.3,Assembly,1080x1920,350,MIPI
B080EAN02.2,AUO,8.0,LCD,800x1280,350,MIPI
N070ICE-G02 Rev.C3,Innolux,7.0,LCD,800x1280,300,MIPI
N080JCE-G41 Rev.A0,Innolux,8.0,LCD,1200x1920,400,MIPI
CLAA080WQ08 XN,CPT,8.0,LCD,800x1280,400,MIPI
CLAA101FP01 XG,CPT,10.1,LCD,1920x1200,700,MIPI
LS050T1SX16,SHARP,5.0,LCD,1080x1920,460,MIPI
LS050T1SX12(K),SHARP,5.0,LCD,1080x1920,460,MIPI
H546DLB01.1,AUO,5.5,OLED,1080x1920,350,MIPI
LPM070W425B,JDI,7.0,LCD,1200x1920,450,MIPI
CLAA101WR61F,CPT,10.1,LCD,800x1280,350,MIPI
LS055R1SX08,SHARP,5.5,LCD,1440x2560,450,MIPI
LH400WS2-SD03,LG Display,4.0,Assembly,640x1136,,MIPI
N080ICE-GB0 Rev.A1,Innolux,8.0,LCD,800x1280,400,MIPI
N080ICE-GB0 Rev.A0,Innolux,8.0,LCD,800x1280,400,MIPI
H139BLN01.2,AUO,1.39,OLED,00x400,300,MIPI
TV096WXM-NS0,BOE,9.6,LCD,800x1280,450,MIPI
LD080WX2-SMN1,LG Display,8.0,LCD,800x1280,330,MIPI
B080UAN02.0,AUO,8.0,LCD,1200x1920,400,MIPI
B101UAN07.0,AUO,10.1,LCD,1200x1920,400,MIPI
B080XAN03.1,AUO,7.9,LCD,768x1024,300,MIPI
LS050T1SX12(G),SHARP,5.0,LCD,1080x1920,460,MIPI
COM43H4N10ULC,ORTUSTECH,4.3,LCD,480x800,300,MIPI
COM43H4N09ULC,ORTUSTECH,4.3,LCD,480x800,340,MIPI
H381DLN01.0,AUO,3.8,OLED,1080x1200,100,MIPI
H345VW01 V0,AUO,3.5,LCD,480x800,320,MIPI
H139BLN01.0,AUO,1.39,OLED,00x400,350,MIPI
B101QAN01.0,AUO,10.1,LCD,1600x2560,400,MIPI
LQ055T3SX05,SHARP,5.5,LCD,1080x1920,400,MIPI
H154QN01 V2,AUO,1.54,LCD,240x240,500,MIPI
H429AAN01.1,AUO,4.3,LCD,540x960,,MIPI
LD089WU1-SM01,LG Display,8.9,LCD,1920x1200,360,MIPI
LP079X01-SMA1,LG Display,7.9,LCD,768x1024,425,MIPI
ZJ070NA-01C,Innolux,7.0,LCD,1024x600,300,MIPI
VVX07H005A10,Panasonic,7.0,LCD,800x1280,450,MIPI
AMS395GB04,Samsung,4.0,OLED,360x3640,300,MIPI
TX11D101VM0EAA,KOE,4.3,LCD,480x800,850,MIPI
AMS767KC04-1,Samsung,7.7,Assembly,1280x800,250,MIPI
LTL090CL01-W01,Samsung,9.0,LCD,1920x1280,400,MIPI
VVX09F006A00,Panasonic,8.9,LCD,1920x1200,430,MIPI
LD070WX6-SM01,LG Display,7.0,LCD,800x1280,450,MIPI
AMS495QA04,Samsung,5.0,OLED,960x9544,140,MIPI
COM48H4M87ULC,ORTUSTECH,4.8,LCD,720x1280,300,MIPI
LTL090CL01-W02,Samsung,9.0,LCD,1920x1280,400,MIPI
N101BCG-GK1,Innolux,10.1,LCD,1366x768,400,MIPI
B080EAN02.0,AUO,8.0,LCD,800x1280,350,MIPI
BP070WS1-400,BOE,7.0,LCD,1024x600,350,MIPI
LQ101R1SX03,SHARP,10.1,LCD,2560x1600,400,MIPI
N080ICE-GB0 Rev.B1,Innolux,8.0,LCD,800x1280,400,MIPI
LS052K3SY54S,SHARP,5.2,LCD,720x1280,500,MIPI
CLAA101WJ01XG,CPT,10.1,LCD,1366x768,450,MIPI
LT070ME0500B,JDI,7.0,LCD,1200x1920,450,MIPI
TM046JDHP01-00,Tianma,4.7,LCD,720x1280,400,MIPI
N070ICE-HB1 N070ICE-HB1,Innolux,7I.0,CELL,800x1280,0,MIPI
AMS317PN01,Samsung,3.2,OLED,360x3640,300,MIPI
B070EAN01.6,AUO,7.0,LCD,800x1280,400,MIPI
CLAA070WP0B XN,CPT,7.0,LCD,800x1280,380,MIPI
CLAA080WQ02 XN,CPT,8.0,LCD,800x1280,400,MIPI
BP101WX1-209,BOE,10.1,LCD,1280x800,330,MIPI
X163QLN01,AUO,1.63,OLED,20x320,,MIPI
B080XAN03.0,AUO,7.9,CELL,768x1024,0,MIPI
A070PAN01.0,AUO,7.0,LCD,900x1440,450,MIPI
CLAA101FP08,CPT,10.1,LCD,1920x1200,390,MIPI
